"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
HttpFileService,package:flutter_cache_manager/src/web/file_service.dart,1,32,32,0,0,0,0,0,1,32,32,0
WebHelper,package:flutter_cache_manager/src/web/web_helper.dart,1,32,32,0,0,0,0,0,1,32,32,0
FlutterAuthClientOptions,package:supabase_flutter/src/flutter_go_true_client_options.dart,1,32,32,0,0,0,0,0,1,32,32,0
_Listener,package:riverpod/src/common/listenable.dart,1,32,32,0,0,0,0,0,1,32,32,0
DeferStream,package:rxdart/src/streams/defer.dart,2,32,32,0,0,0,0,0,2,32,32,0
_UpdateHandlerState,package:goplay/widgets/update_handler.dart,1,32,32,0,0,0,0,0,1,32,32,0
SupabaseAuth,package:supabase_flutter/src/supabase_auth.dart,1,32,32,0,0,0,0,0,1,32,32,0
_ConsumerState,package:flutter_riverpod/src/core.dart,1,32,32,0,0,0,0,0,1,32,32,0
Supabase,package:supabase_flutter/src/supabase.dart,1,32,32,0,0,0,0,0,1,32,32,0
CryptoRNG,package:uuid/rng.dart,2,32,32,0,0,0,0,0,2,32,32,0
RetryTimer,package:realtime_client/src/retry_timer.dart,1,32,32,0,0,0,0,0,1,32,32,0
SupabaseStorageClient,package:storage_client/src/storage_client.dart,1,32,32,0,0,0,0,0,1,32,32,0
DateTimeAdapter,package:hive/src/adapters/date_time_adapter.dart,1,32,32,0,0,0,0,0,1,32,32,0
_UncontrolledProviderScope,package:flutter_riverpod/src/core.dart,1,32,32,0,0,0,0,0,1,32,32,0
ProviderPointerManager,package:riverpod/src/framework.dart,1,32,32,0,0,0,0,0,1,32,32,0
AuthState,package:gotrue/src/types/auth_state.dart,1,32,32,0,0,0,0,0,1,32,32,0
ProviderScope,package:flutter_riverpod/src/core.dart,1,32,32,0,0,0,0,0,1,32,32,0
UpdateHandler,package:goplay/widgets/update_handler.dart,1,32,32,0,0,0,0,0,1,32,32,0
_LiveBadge,package:goplay/screens/search/search_screen.dart,2,32,32,0,0,0,0,0,2,32,32,0
ShellScreen,package:goplay/screens/shell_screen.dart,1,32,32,0,0,0,0,0,1,32,32,0
YAJsonIsolate,package:yet_another_json_isolate/src/_isolates_io.dart,1,32,32,0,0,0,0,0,1,32,32,0
PostgrestClient,package:postgrest/src/postgrest.dart,1,32,32,0,0,0,0,0,1,32,32,0
BigIntAdapter,package:hive/src/adapters/big_int_adapter.dart,1,32,32,0,0,0,0,0,1,32,32,0
ProviderScopeState,package:flutter_riverpod/src/core.dart,1,32,32,0,0,0,0,0,1,32,32,0
_StatusPill,package:goplay/widgets/player/channel_video_player_stub.dart,1,32,32,0,0,0,0,0,1,32,32,0
Counter,package:supabase/src/counter.dart,1,16,16,0,0,0,0,0,1,16,16,0
_AnnouncementsSection,package:goplay/screens/home/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_RecentlyWatched,package:goplay/screens/home/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_TrendingChannels,package:goplay/screens/home/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_TodaySchedule,package:goplay/screens/home/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
HomeScreen,package:goplay/screens/home/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
GoPlayApp,package:goplay/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
ErrorClassifier,package:goplay/services/playback/error_classifier.dart,1,16,16,0,0,0,0,0,1,16,16,0
ChannelsScreen,package:goplay/screens/channels/channels_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_HeroBanner,package:goplay/screens/home/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
CacheService,package:goplay/services/cache_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
SearchScreen,package:goplay/screens/search/search_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
SettingsScreen,package:goplay/screens/settings/settings_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
SplashScreen,package:goplay/screens/splash/splash_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_LiveDot,package:goplay/screens/player/player_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
UpdateRepository,package:goplay/repositories/update_repository.dart,1,16,16,0,0,0,0,0,1,16,16,0
_BackButton,package:goplay/screens/player/player_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_UpcomingBadge,package:goplay/screens/home/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
_HeroBannerSkeleton,package:goplay/screens/home/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
SharedPreferencesGotrueAsyncStorage,package:supabase_flutter/src/local_storage.dart,1,16,16,0,0,0,0,0,1,16,16,0
SharedPreferencesLocalStorage,package:supabase_flutter/src/local_storage.dart,1,16,16,0,0,0,0,0,1,16,16,0
UpcomingScreen,package:goplay/screens/upcoming/upcoming_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
GoTruePasskeyApi,package:gotrue/src/gotrue_client.dart,1,16,16,0,0,0,0,0,1,16,16,0
SupabaseService,package:goplay/services/supabase_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
Serializer,package:realtime_client/src/serializer.dart,1,16,16,0,0,0,0,0,1,16,16,0
UnicodeGlyphSet,package:term_glyph/src/generated/unicode_glyph_set.dart,1,16,16,0,0,0,0,0,1,16,16,0
AppLinks,package:app_links/src/app_links.dart,1,16,16,0,0,0,0,0,1,16,16,0
GoTrueMFAApi,package:gotrue/src/gotrue_client.dart,1,16,16,0,0,0,0,0,1,16,16,0
SyncService,package:goplay/services/sync_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
ReentrantLock,package:synchronized/src/reentrant_lock.dart,1,16,16,0,0,0,0,0,1,16,16,0
BackendManager,package:hive/src/backend/vm/backend_manager.dart,1,16,16,0,0,0,0,0,1,16,16,0
PostgrestClientOptions,package:supabase/src/supabase_client_options.dart,1,16,16,0,0,0,0,0,1,16,16,0
DefaultNullIfEmptyStreamTransformer,package:dio/src/transformers/util/transform_empty_to_null.dart,1,16,16,0,0,0,0,0,1,16,16,0
FutureProviderFamilyBuilder,package:riverpod/src/builder.dart,1,16,16,0,0,0,0,0,1,16,16,0
FunctionsClient,package:functions_client/src/functions_client.dart,1,16,16,0,0,0,0,0,1,16,16,0
Interceptors,package:dio/src/dio_mixin.dart,1,16,16,0,0,0,0,0,1,16,16,0
UpdateService,package:goplay/services/update_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
_EmptyState,package:goplay/screens/upcoming/upcoming_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
JObject,package:jni/src/jobject.dart,1,16,16,0,0,0,0,0,1,16,16,0
IOFileSystem,package:flutter_cache_manager/src/storage/file_system/file_system_io.dart,1,16,16,0,0,0,0,0,1,16,16,0
$JString$Type$,package:jni/src/core_bindings.dart,1,16,16,0,0,0,0,0,1,16,16,0
UpdateDialog,package:goplay/widgets/update_dialog.dart,1,16,16,0,0,0,0,0,1,16,16,0
Uuid,package:uuid/uuid.dart,1,16,16,0,0,0,0,0,1,16,16,0
_NamedLock,package:sqflite_common/src/factory_mixin.dart,1,16,16,0,0,0,0,0,1,16,16,0
jbooleanType,package:jni/src/types.dart,1,16,16,0,0,0,0,0,1,16,16,0
CacheLogger,package:flutter_cache_manager/src/logger.dart,1,16,16,0,0,0,0,0,1,16,16,0
jintType,package:jni/src/types.dart,1,16,16,0,0,0,0,0,1,16,16,0
SelectedCategoryNotifier,package:goplay/providers/app_providers.dart,1,16,16,0,0,0,0,0,1,16,16,0
FavoriteNotifier,package:goplay/providers/app_providers.dart,1,16,16,0,0,0,0,0,1,16,16,0
WatchHistoryNotifier,package:goplay/providers/app_providers.dart,1,16,16,0,0,0,0,0,1,16,16,0
_PigeonCodec,package:wakelock_plus_platform_interface/messages.g.dart,1,16,16,0,0,0,0,0,1,16,16,0
FunctionsClientOptions,package:supabase/src/supabase_client_options.dart,1,16,16,0,0,0,0,0,1,16,16,0
GoTrueAdminMFAApi,package:gotrue/src/gotrue_admin_mfa_api.dart,1,16,16,0,0,0,0,0,1,16,16,0
_Empty,package:rxdart/src/utils/empty.dart,1,16,16,0,0,0,0,0,1,16,16,0
GoTrueAdminOAuthApi,package:gotrue/src/gotrue_admin_oauth_api.dart,1,16,16,0,0,0,0,0,1,16,16,0
GoTrueAdminPasskeyApi,package:gotrue/src/gotrue_admin_passkey_api.dart,1,16,16,0,0,0,0,0,1,16,16,0
LocalFileSystem,package:file/src/backends/local/local_file_system.dart,1,16,16,0,0,0,0,0,1,16,16,0
FusedTransformer,package:dio/src/transformers/fused_transformer.dart,1,16,16,0,0,0,0,0,1,16,16,0
ImplyContentTypeInterceptor,package:dio/src/interceptors/imply_content_type.dart,1,16,16,0,0,0,0,0,1,16,16,0
_DefaultVsync,package:riverpod/src/framework.dart,1,16,16,0,0,0,0,0,1,16,16,0
Clock,package:clock/src/clock.dart,1,16,16,0,0,0,0,0,1,16,16,0
AppLinksMethodChannel,package:app_links_platform_interface/app_links_method_channel.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelPackageInfo,package:package_info_plus_platform_interface/method_channel_package_info.dart,1,16,16,0,0,0,0,0,1,16,16,0
_JNullReference,package:jni/src/jreference.dart,1,16,16,0,0,0,0,0,1,16,16,0
ProviderFamilyBuilder,package:riverpod/src/builder.dart,1,16,16,0,0,0,0,0,1,16,16,0
AutoDisposeProviderBuilder,package:riverpod/src/builder.dart,1,16,16,0,0,0,0,0,1,16,16,0
